index,amount of compares,size of array
0,0,1
1,0,2
2,2,3
3,3,4
4,2,5
5,6,6
6,14,7
7,16,8
8,10,9
9,29,10
10,23,11
11,26,12
12,51,13
13,28,14
14,35,15
15,51,16
16,74,17
17,70,18
18,64,19
19,80,20
20,129,21
21,115,22
22,134,23
23,138,24
24,155,25
25,143,26
26,165,27
27,212,28
28,212,29
29,210,30
30,223,31
31,261,32
32,262,33
33,283,34
34,299,35
35,339,36
36,370,37
37,306,38
38,386,39
39,458,40
40,486,41
41,493,42
42,386,43
43,522,44
44,520,45
45,558,46
46,556,47
47,655,48
48,710,49
49,575,50
50,687,51
51,611,52
52,666,53
53,674,54
54,833,55
55,818,56
56,871,57
57,886,58
58,923,59
59,878,60
60,901,61
61,999,62
62,914,63
63,958,64
64,1099,65
65,1172,66
66,1069,67
67,1112,68
68,1195,69
69,1261,70
70,1208,71
71,1040,72
72,1222,73
73,1318,74
74,1429,75
75,1277,76
76,1281,77
77,1503,78
78,1448,79
79,1304,80
80,1591,81
81,1711,82
82,1707,83
83,1692,84
84,1852,85
85,1744,86
86,1945,87
87,2156,88
88,1685,89
89,2138,90
90,1860,91
91,1835,92
92,2075,93
93,2069,94
94,2308,95
95,2072,96
96,2406,97
97,2492,98
98,2303,99
99,2519,100
100,2752,101
101,2861,102
102,2336,103
103,2554,104
104,2888,105
105,2854,106
106,2552,107
107,3108,108
108,2981,109
109,2887,110
110,3110,111
111,3288,112
112,3271,113
113,2993,114
114,3766,115
115,3478,116
116,2817,117
117,3721,118
118,3290,119
119,3718,120
120,3595,121
121,3546,122
122,3641,123
123,3812,124
124,3545,125
125,3654,126
126,4706,127
127,3931,128
128,4466,129
129,4632,130
130,4253,131
131,4357,132
132,4454,133
133,4568,134
134,4344,135
135,4823,136
136,4626,137
137,4364,138
138,4246,139
139,4865,140
140,5063,141
141,5264,142
142,4736,143
143,4925,144
144,5268,145
145,5055,146
146,5440,147
147,5659,148
148,5138,149
149,6364,150
150,6005,151
151,5702,152
152,5600,153
153,6146,154
154,5948,155
155,5526,156
156,6342,157
157,5898,158
158,5980,159
159,6664,160
160,6664,161
161,6464,162
162,7214,163
163,6135,164
164,6879,165
165,6638,166
166,6773,167
167,7293,168
168,7140,169
169,7346,170
170,7398,171
171,7686,172
172,7706,173
173,7766,174
174,7391,175
175,7542,176
176,8105,177
177,8023,178
178,7838,179
179,8056,180
180,8211,181
181,8446,182
182,8273,183
183,8363,184
184,8609,185
185,8775,186
186,9630,187
187,8980,188
188,8609,189
189,9333,190
190,9083,191
191,9486,192
192,9117,193
193,9888,194
194,9004,195
195,9927,196
196,8890,197
197,9764,198
198,10182,199
199,10208,200
200,9850,201
201,11520,202
202,10251,203
203,10607,204
204,10563,205
205,10569,206
206,10371,207
207,11189,208
208,11366,209
209,10668,210
210,11000,211
211,11527,212
212,10579,213
213,11530,214
214,10781,215
215,11636,216
216,12428,217
217,12305,218
218,12347,219
219,13224,220
220,11835,221
221,12654,222
222,12494,223
