index,amount of compares,size of array
0,0,1
1,2,2
2,6,3
3,8,4
4,13,5
5,16,6
6,19,7
7,31,8
8,31,9
9,34,10
10,42,11
11,49,12
12,52,13
13,57,14
14,62,15
15,77,16
16,70,17
17,83,18
18,82,19
19,88,20
20,94,21
21,109,22
22,94,23
23,125,24
24,131,25
25,117,26
26,126,27
27,133,28
28,154,29
29,173,30
30,148,31
31,164,32
32,183,33
33,186,34
34,179,35
35,214,36
36,208,37
37,241,38
38,260,39
39,217,40
40,237,41
41,279,42
42,258,43
43,275,44
44,327,45
45,279,46
46,311,47
47,306,48
48,348,49
49,314,50
50,315,51
51,344,52
52,355,53
53,314,54
54,353,55
55,343,56
56,356,57
57,378,58
58,390,59
59,346,60
60,429,61
61,391,62
62,445,63
63,445,64
64,466,65
65,444,66
66,519,67
67,439,68
68,488,69
69,450,70
70,474,71
71,490,72
72,567,73
73,568,74
74,535,75
75,567,76
76,556,77
77,571,78
78,514,79
79,622,80
80,640,81
81,541,82
82,730,83
83,610,84
84,650,85
85,666,86
86,607,87
87,646,88
88,590,89
89,627,90
90,662,91
91,748,92
92,741,93
93,739,94
94,712,95
95,743,96
96,722,97
97,888,98
98,753,99
99,884,100
100,810,101
101,765,102
102,868,103
103,815,104
104,770,105
105,776,106
106,946,107
107,778,108
108,809,109
109,847,110
110,819,111
111,910,112
112,855,113
113,856,114
114,985,115
115,912,116
116,957,117
117,849,118
118,909,119
119,1021,120
120,1024,121
121,1036,122
122,894,123
123,977,124
124,947,125
125,1021,126
126,1148,127
127,946,128
128,986,129
129,1130,130
130,1007,131
131,1088,132
132,1066,133
133,1039,134
134,1143,135
135,1018,136
136,1036,137
137,1106,138
138,1045,139
139,1149,140
140,1143,141
141,1236,142
142,1137,143
143,1229,144
144,1110,145
145,1195,146
146,1326,147
147,1121,148
148,1294,149
149,1160,150
150,1219,151
151,1291,152
152,1367,153
153,1570,154
154,1210,155
155,1329,156
156,1442,157
157,1245,158
158,1367,159
159,1285,160
160,1248,161
161,1268,162
162,1372,163
163,1525,164
164,1340,165
165,1425,166
166,1386,167
167,1461,168
168,1560,169
169,1444,170
170,1461,171
171,1464,172
172,1446,173
173,1877,174
174,1601,175
175,1456,176
176,1518,177
177,1454,178
178,1483,179
179,1997,180
180,1640,181
181,1677,182
182,1569,183
183,1660,184
184,1882,185
185,1742,186
186,1725,187
187,1534,188
188,1674,189
189,1568,190
190,1683,191
191,1737,192
192,1588,193
193,1729,194
194,1716,195
195,1945,196
196,1995,197
197,1612,198
198,1740,199
199,1964,200
200,1753,201
201,1891,202
202,1637,203
203,1957,204
204,1833,205
205,1667,206
206,1666,207
207,1666,208
208,1772,209
209,1964,210
210,1887,211
211,1838,212
212,1839,213
213,1893,214
214,2028,215
215,1997,216
216,1960,217
217,1819,218
218,1873,219
219,2015,220
220,1928,221
221,1778,222
222,1995,223
223,2046,224
224,1986,225
225,2018,226
226,2083,227
227,2060,228
228,2008,229
229,2123,230
230,2241,231
231,2183,232
232,2215,233
233,2187,234
234,2130,235
235,2274,236
236,2016,237
237,2588,238
238,2201,239
239,2119,240
240,2187,241
241,2254,242
242,2223,243
243,2328,244
244,2446,245
245,2230,246
246,2277,247
247,2312,248
248,2454,249
249,2369,250
250,2791,251
251,2412,252
252,2504,253
253,2242,254
254,2442,255
255,2256,256
256,2442,257
257,2487,258
258,2975,259
259,2268,260
260,2527,261
261,2344,262
262,2820,263
263,2553,264
264,2591,265
265,2608,266
266,2439,267
267,2470,268
268,2340,269
269,2933,270
270,2906,271
271,2998,272
272,2633,273
273,2495,274
274,2436,275
275,2463,276
276,2624,277
277,2836,278
278,2517,279
279,2532,280
280,2630,281
281,2950,282
282,2649,283
283,2958,284
284,2552,285
285,2904,286
286,2540,287
287,2465,288
288,3912,289
289,2715,290
290,2868,291
291,2865,292
292,2777,293
293,2833,294
294,2873,295
295,2901,296
296,2995,297
297,3392,298
298,2932,299
299,2615,300
300,3117,301
301,2658,302
302,3007,303
303,2757,304
304,3258,305
305,2875,306
306,2829,307
307,2854,308
308,2979,309
309,3111,310
310,3218,311
311,2971,312
312,2723,313
313,2836,314
314,3385,315
315,3070,316
316,2943,317
317,2958,318
318,2887,319
319,3284,320
320,2891,321
321,3447,322
322,3006,323
323,2950,324
324,3438,325
325,3503,326
326,3101,327
327,3272,328
328,3204,329
329,3395,330
330,3345,331
331,3588,332
332,3262,333
333,3642,334
334,3326,335
335,3581,336
336,3458,337
337,3302,338
338,3336,339
339,3301,340
340,3558,341
341,3602,342
342,3142,343
343,3737,344
344,3395,345
345,3427,346
346,3576,347
347,3630,348
348,3272,349
349,3424,350
350,3289,351
351,3362,352
352,3434,353
353,3534,354
354,3459,355
355,3733,356
356,3366,357
357,3356,358
358,3500,359
359,4047,360
360,3713,361
361,3707,362
362,3548,363
363,3417,364
364,3975,365
365,4014,366
366,3611,367
367,3912,368
368,3517,369
369,4057,370
370,4122,371
371,4094,372
372,3682,373
373,4001,374
374,3924,375
375,3519,376
376,3529,377
377,3654,378
378,4058,379
379,3767,380
380,4116,381
381,3730,382
382,3680,383
383,3908,384
384,4190,385
385,4037,386
386,3743,387
387,3957,388
388,3939,389
389,3808,390
390,4224,391
391,4061,392
392,3642,393
393,4250,394
394,4011,395
395,4729,396
396,3831,397
397,3962,398
398,4362,399
399,4047,400
400,3865,401
401,4578,402
402,4210,403
403,4283,404
404,4059,405
405,4141,406
406,4825,407
407,4497,408
408,4878,409
409,3936,410
410,4607,411
411,4273,412
412,4986,413
413,4194,414
414,4250,415
415,4214,416
416,4281,417
417,4155,418
418,4133,419
419,4540,420
420,4423,421
421,3936,422
422,4201,423
423,4337,424
424,5397,425
425,4445,426
426,4234,427
427,4785,428
428,4769,429
429,4488,430
430,4500,431
431,4428,432
432,4537,433
433,4460,434
434,4375,435
435,5054,436
436,4787,437
437,4352,438
438,4880,439
439,4644,440
440,5009,441
441,4644,442
442,4292,443
443,4538,444
