index,amount of elements,time,dbr
0,250,0.0,0.0
1,500,0.0,0.0
2,1000,0.0,0.0
3,2000,0.0,0.0
4,4000,0.001,0.0
5,8000,0.001,1.0
6,16000,0.002,2.0
7,32000,0.004,2.0
8,64000,0.007,1.75
9,128000,0.019,1.75
10,256000,0.046,2.714285714285714
11,512000,0.137,2.4210526315789473
12,1024000,0.358,2.9782608695652177
13,2048000,0.617,2.6131386861313866
14,4096000,1.378,1.723463687150838
15,8192000,3.101,2.233387358184765
16,16384000,7.244,2.2503628447024675
17,32768000,16.051,2.3360206385037086
18,65536000,36.391,2.215764770844837
