index,amount of compares,size of array
0,0,1
1,1,2
2,3,3
3,6,4
4,10,5
5,15,6
6,21,7
7,28,8
8,36,9
9,45,10
10,55,11
11,66,12
12,78,13
13,91,14
14,105,15
15,120,16
16,136,17
17,153,18
18,171,19
19,190,20
20,210,21
21,231,22
22,253,23
23,276,24
24,300,25
25,325,26
26,351,27
27,378,28
28,406,29
29,435,30
30,465,31
31,496,32
32,528,33
33,561,34
34,595,35
35,630,36
36,666,37
37,703,38
38,741,39
39,780,40
40,820,41
41,861,42
42,903,43
43,946,44
44,990,45
45,1035,46
46,1081,47
47,1128,48
48,1176,49
49,1225,50
50,1275,51
51,1326,52
52,1378,53
53,1431,54
54,1485,55
55,1540,56
56,1596,57
57,1653,58
58,1711,59
59,1770,60
60,1830,61
61,1891,62
62,1953,63
63,2016,64
64,2080,65
65,2145,66
66,2211,67
67,2278,68
68,2346,69
69,2415,70
70,2485,71
71,2556,72
72,2628,73
73,2701,74
74,2775,75
75,2850,76
76,2926,77
77,3003,78
78,3081,79
79,3160,80
80,3240,81
81,3321,82
82,3403,83
83,3486,84
84,3570,85
85,3655,86
86,3741,87
87,3828,88
88,3916,89
89,4005,90
90,4095,91
91,4186,92
92,4278,93
93,4371,94
94,4465,95
95,4560,96
96,4656,97
97,4753,98
98,4851,99
99,4950,100
100,5050,101
101,5151,102
102,5253,103
103,5356,104
104,5460,105
105,5565,106
106,5671,107
107,5778,108
108,5886,109
109,5995,110
110,6105,111
111,6216,112
112,6328,113
113,6441,114
114,6555,115
115,6670,116
116,6786,117
117,6903,118
118,7021,119
119,7140,120
120,7260,121
121,7381,122
122,7503,123
123,7626,124
124,7750,125
125,7875,126
126,8001,127
127,8128,128
128,8256,129
129,8385,130
130,8515,131
131,8646,132
132,8778,133
133,8911,134
134,9045,135
135,9180,136
136,9316,137
137,9453,138
138,9591,139
139,9730,140
140,9870,141
141,10011,142
142,10153,143
143,10296,144
144,10440,145
145,10585,146
146,10731,147
147,10878,148
148,11026,149
149,11175,150
150,11325,151
151,11476,152
152,11628,153
153,11781,154
154,11935,155
155,12090,156
156,12246,157
157,12403,158
158,12561,159
159,12720,160
160,12880,161
161,13041,162
162,13203,163
163,13366,164
164,13530,165
165,13695,166
166,13861,167
167,14028,168
168,14196,169
169,14365,170
170,14535,171
171,14706,172
172,14878,173
173,15051,174
174,15225,175
175,15400,176
176,15576,177
177,15753,178
178,15931,179
179,16110,180
180,16290,181
181,16471,182
182,16653,183
183,16836,184
184,17020,185
185,17205,186
186,17391,187
187,17578,188
188,17766,189
189,17955,190
190,18145,191
191,18336,192
192,18528,193
193,18721,194
194,18915,195
195,19110,196
196,19306,197
197,19503,198
198,19701,199
199,19900,200
200,20100,201
201,20301,202
202,20503,203
203,20706,204
204,20910,205
205,21115,206
206,21321,207
207,21528,208
208,21736,209
209,21945,210
210,22155,211
211,22366,212
212,22578,213
213,22791,214
214,23005,215
215,23220,216
216,23436,217
217,23653,218
218,23871,219
219,24090,220
220,24310,221
221,24531,222
222,24753,223
223,24976,224
224,25200,225
225,25425,226
226,25651,227
227,25878,228
228,26106,229
229,26335,230
230,26565,231
231,26796,232
232,27028,233
233,27261,234
234,27495,235
235,27730,236
236,27966,237
237,28203,238
238,28441,239
239,28680,240
240,28920,241
241,29161,242
242,29403,243
243,29646,244
244,29890,245
245,30135,246
246,30381,247
247,30628,248
248,30876,249
249,31125,250
250,31375,251
251,31626,252
252,31878,253
253,32131,254
254,32385,255
255,32640,256
256,32896,257
257,33153,258
258,33411,259
259,33670,260
260,33930,261
261,34191,262
262,34453,263
263,34716,264
264,34980,265
265,35245,266
266,35511,267
267,35778,268
268,36046,269
269,36315,270
270,36585,271
271,36856,272
272,37128,273
273,37401,274
274,37675,275
275,37950,276
276,38226,277
277,38503,278
278,38781,279
279,39060,280
280,39340,281
281,39621,282
282,39903,283
283,40186,284
284,40470,285
285,40755,286
286,41041,287
287,41328,288
288,41616,289
289,41905,290
290,42195,291
291,42486,292
292,42778,293
293,43071,294
294,43365,295
295,43660,296
296,43956,297
297,44253,298
298,44551,299
299,44850,300
300,45150,301
301,45451,302
302,45753,303
303,46056,304
304,46360,305
305,46665,306
306,46971,307
307,47278,308
308,47586,309
309,47895,310
310,48205,311
311,48516,312
312,48828,313
313,49141,314
314,49455,315
315,49770,316
316,50086,317
317,50403,318
318,50721,319
319,51040,320
320,51360,321
321,51681,322
322,52003,323
323,52326,324
324,52650,325
325,52975,326
326,53301,327
327,53628,328
328,53956,329
329,54285,330
330,54615,331
331,54946,332
332,55278,333
333,55611,334
334,55945,335
335,56280,336
336,56616,337
337,56953,338
338,57291,339
339,57630,340
340,57970,341
341,58311,342
342,58653,343
343,58996,344
344,59340,345
345,59685,346
346,60031,347
347,60378,348
348,60726,349
349,61075,350
350,61425,351
351,61776,352
352,62128,353
353,62481,354
354,62835,355
355,63190,356
356,63546,357
357,63903,358
358,64261,359
359,64620,360
360,64980,361
361,65341,362
362,65703,363
363,66066,364
364,66430,365
365,66795,366
366,67161,367
367,67528,368
368,67896,369
369,68265,370
370,68635,371
371,69006,372
372,69378,373
373,69751,374
374,70125,375
375,70500,376
376,70876,377
377,71253,378
378,71631,379
379,72010,380
380,72390,381
381,72771,382
382,73153,383
383,73536,384
384,73920,385
385,74305,386
386,74691,387
387,75078,388
388,75466,389
389,75855,390
390,76245,391
391,76636,392
392,77028,393
393,77421,394
394,77815,395
395,78210,396
396,78606,397
397,79003,398
398,79401,399
399,79800,400
400,80200,401
401,80601,402
402,81003,403
403,81406,404
404,81810,405
405,82215,406
406,82621,407
407,83028,408
408,83436,409
409,83845,410
410,84255,411
411,84666,412
412,85078,413
413,85491,414
414,85905,415
415,86320,416
416,86736,417
417,87153,418
418,87571,419
419,87990,420
420,88410,421
421,88831,422
422,89253,423
423,89676,424
424,90100,425
425,90525,426
426,90951,427
427,91378,428
428,91806,429
429,92235,430
430,92665,431
431,93096,432
432,93528,433
433,93961,434
434,94395,435
435,94830,436
436,95266,437
437,95703,438
438,96141,439
439,96580,440
440,97020,441
441,97461,442
442,97903,443
443,98346,444
444,98790,445
445,99235,446
446,99681,447
447,100128,448
448,100576,449
449,101025,450
450,101475,451
451,101926,452
452,102378,453
453,102831,454
454,103285,455
455,103740,456
456,104196,457
457,104653,458
458,105111,459
459,105570,460
460,106030,461
461,106491,462
462,106953,463
463,107416,464
464,107880,465
465,108345,466
466,108811,467
467,109278,468
468,109746,469
469,110215,470
470,110685,471
471,111156,472
472,111628,473
473,112101,474
474,112575,475
475,113050,476
476,113526,477
477,114003,478
478,114481,479
479,114960,480
480,115440,481
481,115921,482
482,116403,483
483,116886,484
484,117370,485
485,117855,486
486,118341,487
487,118828,488
488,119316,489
489,119805,490
490,120295,491
491,120786,492
492,121278,493
493,121771,494
494,122265,495
495,122760,496
496,123256,497
497,123753,498
498,124251,499
499,124750,500
500,125250,501
501,125751,502
502,126253,503
503,126756,504
504,127260,505
505,127765,506
506,128271,507
507,128778,508
508,129286,509
509,129795,510
510,130305,511
511,130816,512
512,131328,513
513,131841,514
514,132355,515
515,132870,516
516,133386,517
517,133903,518
518,134421,519
519,134940,520
520,135460,521
521,135981,522
522,136503,523
523,137026,524
524,137550,525
525,138075,526
526,138601,527
527,139128,528
528,139656,529
529,140185,530
530,140715,531
531,141246,532
532,141778,533
533,142311,534
534,142845,535
535,143380,536
536,143916,537
537,144453,538
538,144991,539
539,145530,540
540,146070,541
541,146611,542
542,147153,543
543,147696,544
544,148240,545
545,148785,546
546,149331,547
547,149878,548
548,150426,549
549,150975,550
550,151525,551
551,152076,552
552,152628,553
553,153181,554
554,153735,555
555,154290,556
556,154846,557
557,155403,558
558,155961,559
559,156520,560
560,157080,561
561,157641,562
562,158203,563
563,158766,564
564,159330,565
565,159895,566
566,160461,567
567,161028,568
568,161596,569
569,162165,570
570,162735,571
571,163306,572
572,163878,573
573,164451,574
574,165025,575
575,165600,576
576,166176,577
577,166753,578
578,167331,579
579,167910,580
580,168490,581
581,169071,582
582,169653,583
583,170236,584
584,170820,585
585,171405,586
586,171991,587
587,172578,588
588,173166,589
589,173755,590
590,174345,591
591,174936,592
592,175528,593
593,176121,594
594,176715,595
595,177310,596
596,177906,597
597,178503,598
598,179101,599
599,179700,600
600,180300,601
601,180901,602
602,181503,603
603,182106,604
604,182710,605
605,183315,606
606,183921,607
607,184528,608
608,185136,609
609,185745,610
610,186355,611
611,186966,612
612,187578,613
613,188191,614
614,188805,615
615,189420,616
616,190036,617
617,190653,618
618,191271,619
619,191890,620
620,192510,621
621,193131,622
622,193753,623
623,194376,624
624,195000,625
625,195625,626
626,196251,627
627,196878,628
628,197506,629
629,198135,630
630,198765,631
631,199396,632
632,200028,633
633,200661,634
634,201295,635
635,201930,636
636,202566,637
637,203203,638
638,203841,639
639,204480,640
640,205120,641
641,205761,642
642,206403,643
643,207046,644
644,207690,645
645,208335,646
646,208981,647
647,209628,648
648,210276,649
649,210925,650
650,211575,651
651,212226,652
652,212878,653
653,213531,654
654,214185,655
655,214840,656
656,215496,657
657,216153,658
658,216811,659
659,217470,660
660,218130,661
661,218791,662
662,219453,663
663,220116,664
664,220780,665
665,221445,666
666,222111,667
667,222778,668
668,223446,669
669,224115,670
670,224785,671
671,225456,672
