index,amount of compares,size of array
0,0,0
1,0,1
2,3,2
3,4,3
4,11,4
5,11,5
6,18,6
7,21,7
8,26,8
9,30,9
10,41,10
11,34,11
12,45,12
13,62,13
14,60,14
15,59,15
16,74,16
17,69,17
18,74,18
19,88,19
20,97,20
21,94,21
22,124,22
23,113,23
24,101,24
25,135,25
26,125,26
27,132,27
28,132,28
29,172,29
30,184,30
31,158,31
32,151,32
33,220,33
34,183,34
35,203,35
36,234,36
37,279,37
38,243,38
39,226,39
40,246,40
41,235,41
42,269,42
43,258,43
44,290,44
45,239,45
46,262,46
47,295,47
48,278,48
49,321,49
50,366,50
51,354,51
52,359,52
53,318,53
54,327,54
55,359,55
56,471,56
57,335,57
58,386,58
59,396,59
60,390,60
61,356,61
62,392,62
63,409,63
64,425,64
65,421,65
66,433,66
67,438,67
68,476,68
69,447,69
70,491,70
71,459,71
72,532,72
73,503,73
74,550,74
75,466,75
76,485,76
77,595,77
78,513,78
79,618,79
80,613,80
81,541,81
82,553,82
83,585,83
84,700,84
85,611,85
86,577,86
87,698,87
88,595,88
89,639,89
90,658,90
91,674,91
92,698,92
93,642,93
94,742,94
95,749,95
96,776,96
97,758,97
98,755,98
99,822,99
100,792,100
101,841,101
102,732,102
103,785,103
104,878,104
105,731,105
106,725,106
107,927,107
108,967,108
109,796,109
110,921,110
111,765,111
112,845,112
113,826,113
114,869,114
115,899,115
116,847,116
117,914,117
118,972,118
119,907,119
120,1006,120
121,890,121
122,1043,122
123,1024,123
124,1006,124
125,921,125
126,1041,126
127,1066,127
128,1259,128
129,1039,129
130,1035,130
131,987,131
132,999,132
133,1086,133
134,1102,134
135,1162,135
136,1051,136
137,1231,137
138,1192,138
139,1220,139
140,1061,140
141,1058,141
142,1259,142
143,1203,143
144,1074,144
145,1248,145
146,1243,146
147,1147,147
148,1363,148
149,1144,149
150,1240,150
151,1127,151
152,1173,152
153,1364,153
154,1305,154
155,1255,155
156,1455,156
157,1325,157
158,1209,158
159,1295,159
160,1439,160
161,1469,161
162,1350,162
163,1364,163
164,1300,164
165,1662,165
166,1291,166
167,1438,167
168,1312,168
169,1556,169
170,1462,170
171,1417,171
172,1617,172
173,1569,173
174,1504,174
175,1568,175
176,1507,176
177,1750,177
178,1390,178
179,1723,179
180,1715,180
181,1522,181
182,1563,182
183,1554,183
184,1619,184
185,1567,185
186,1586,186
187,1688,187
188,1679,188
189,1755,189
190,1803,190
191,1550,191
192,1845,192
193,1573,193
194,1727,194
195,1660,195
196,1823,196
197,1835,197
198,1758,198
199,1661,199
200,1892,200
201,1870,201
202,1996,202
203,1630,203
204,1734,204
205,1950,205
206,1820,206
207,1724,207
208,1757,208
209,1883,209
210,2021,210
211,1956,211
212,1943,212
213,1731,213
214,1932,214
215,2073,215
216,2073,216
217,2032,217
218,2367,218
219,1726,219
220,1857,220
221,1866,221
222,2016,222
223,2040,223
224,2505,224
225,2529,225
226,2061,226
227,1965,227
228,2075,228
229,2247,229
230,1952,230
231,2462,231
232,2025,232
233,2199,233
234,2405,234
235,2495,235
236,2006,236
237,2106,237
238,2431,238
239,2086,239
240,2247,240
241,2364,241
242,2147,242
243,2644,243
244,2200,244
245,2183,245
246,2355,246
247,2226,247
248,2477,248
249,2370,249
250,2246,250
251,2711,251
252,2355,252
253,2319,253
254,2684,254
255,2592,255
256,2429,256
257,2309,257
258,2377,258
259,2395,259
260,2340,260
261,2659,261
262,2579,262
263,2298,263
264,2477,264
265,2622,265
266,2508,266
267,2403,267
268,2446,268
269,2518,269
270,2376,270
271,2635,271
272,2372,272
273,2660,273
274,2771,274
275,2536,275
276,2843,276
277,2687,277
278,2643,278
279,2625,279
280,2594,280
281,2766,281
