index,amount of compares,size of array
0,0,0
1,0,1
2,1,2
3,2,3
4,1,4
5,2,5
6,5,6
7,13,7
8,21,8
9,19,9
10,25,10
11,24,11
12,38,12
13,29,13
14,37,14
15,58,15
16,54,16
17,71,17
18,80,18
19,60,19
20,98,20
21,92,21
22,95,22
23,155,23
24,152,24
25,160,25
26,167,26
27,161,27
28,153,28
29,245,29
30,145,30
31,229,31
32,277,32
33,209,33
34,337,34
35,329,35
36,320,36
37,290,37
38,412,38
39,423,39
40,426,40
41,462,41
42,338,42
43,451,43
44,511,44
45,462,45
46,515,46
47,550,47
48,658,48
49,607,49
50,609,50
51,594,51
52,713,52
53,792,53
54,653,54
55,775,55
56,847,56
57,714,57
58,777,58
59,896,59
60,879,60
61,1002,61
62,965,62
63,913,63
64,1055,64
65,1101,65
66,1036,66
67,1091,67
68,1101,68
69,1148,69
70,1215,70
71,1119,71
72,1267,72
73,1173,73
74,1346,74
75,1384,75
76,1472,76
77,1517,77
78,1385,78
79,1532,79
80,1570,80
81,1551,81
82,1563,82
83,1768,83
84,1861,84
85,1694,85
86,1569,86
87,2176,87
88,1931,88
89,1901,89
90,2326,90
91,2015,91
92,2267,92
93,2486,93
94,2298,94
95,2581,95
96,2378,96
97,2144,97
98,2294,98
99,2273,99
100,2201,100
101,2526,101
102,2603,102
103,2462,103
104,2839,104
105,2538,105
106,2675,106
107,2583,107
108,3196,108
109,2863,109
110,2746,110
111,2955,111
112,3496,112
113,3134,113
114,3315,114
115,3277,115
116,3333,116
117,3259,117
118,3772,118
119,3719,119
120,3631,120
121,3687,121
122,3629,122
123,3670,123
124,3879,124
125,3514,125
126,3879,126
127,3988,127
128,4071,128
129,4191,129
130,3910,130
131,4108,131
132,4397,132
133,4740,133
134,4450,134
135,4326,135
136,4867,136
137,4931,137
138,5364,138
139,4544,139
140,4846,140
141,5233,141
142,5239,142
143,5552,143
144,4825,144
145,4844,145
146,4666,146
147,5332,147
148,5265,148
149,5515,149
150,5561,150
151,6129,151
152,5288,152
153,5756,153
154,6012,154
155,5642,155
156,5963,156
157,5922,157
158,6515,158
159,6582,159
160,6333,160
161,6284,161
162,6782,162
163,6428,163
164,6491,164
165,7219,165
166,7054,166
167,7607,167
168,6919,168
169,6886,169
170,7216,170
171,7866,171
172,7331,172
173,7443,173
174,7901,174
175,7623,175
176,7846,176
177,7750,177
178,7853,178
179,8123,179
180,8256,180
181,8574,181
182,8468,182
183,8443,183
184,8242,184
185,8354,185
186,8180,186
187,9084,187
188,9478,188
189,9482,189
190,8218,190
191,8502,191
192,8668,192
193,9467,193
194,9976,194
195,9200,195
196,10045,196
197,9976,197
198,9430,198
199,10090,199
200,9119,200
201,10189,201
202,10719,202
203,9647,203
204,10206,204
205,10483,205
206,10490,206
207,10267,207
208,10866,208
209,10004,209
210,10666,210
211,10572,211
212,11435,212
213,10935,213
214,11744,214
215,11714,215
216,12105,216
217,11488,217
218,11831,218
219,12868,219
220,11794,220
221,12558,221
222,12734,222
223,11134,223
224,12298,224
225,13142,225
226,12748,226
227,13153,227
228,14316,228
229,12977,229
230,13530,230
231,13412,231
232,13717,232
233,14546,233
234,13746,234
235,13186,235
236,13998,236
237,14675,237
238,15037,238
239,13891,239
240,14379,240
241,14396,241
242,14222,242
243,14186,243
244,14901,244
245,14566,245
246,16572,246
247,14636,247
248,15096,248
249,16173,249
250,15518,250
251,14688,251
252,14862,252
253,15865,253
254,17180,254
255,16700,255
256,15953,256
257,16056,257
258,17166,258
259,16571,259
260,17070,260
261,16534,261
262,17626,262
263,17450,263
264,18215,264
265,16939,265
266,17279,266
267,17107,267
268,19056,268
269,17222,269
270,18083,270
271,16864,271
272,17044,272
