index,amount of compares,size of array
0,0,0
1,0,1
2,1,2
3,3,3
4,6,4
5,10,5
6,15,6
7,21,7
8,28,8
9,36,9
10,45,10
11,55,11
12,66,12
13,78,13
14,91,14
15,105,15
16,120,16
17,136,17
18,153,18
19,171,19
20,190,20
21,210,21
22,231,22
23,253,23
24,276,24
25,300,25
26,325,26
27,351,27
28,378,28
29,406,29
30,435,30
31,465,31
32,496,32
33,528,33
34,561,34
35,595,35
36,630,36
37,666,37
38,703,38
39,741,39
40,780,40
41,820,41
42,861,42
43,903,43
44,946,44
45,990,45
46,1035,46
47,1081,47
48,1128,48
49,1176,49
50,1225,50
51,1275,51
52,1326,52
53,1378,53
54,1431,54
55,1485,55
56,1540,56
57,1596,57
58,1653,58
59,1711,59
60,1770,60
61,1830,61
62,1891,62
63,1953,63
64,2016,64
65,2080,65
66,2145,66
67,2211,67
68,2278,68
69,2346,69
70,2415,70
71,2485,71
72,2556,72
73,2628,73
74,2701,74
75,2775,75
76,2850,76
77,2926,77
78,3003,78
79,3081,79
80,3160,80
81,3240,81
82,3321,82
83,3403,83
84,3486,84
85,3570,85
86,3655,86
87,3741,87
88,3828,88
89,3916,89
90,4005,90
91,4095,91
92,4186,92
93,4278,93
94,4371,94
95,4465,95
96,4560,96
97,4656,97
98,4753,98
99,4851,99
100,4950,100
101,5050,101
102,5151,102
103,5253,103
104,5356,104
105,5460,105
106,5565,106
107,5671,107
108,5778,108
109,5886,109
110,5995,110
111,6105,111
112,6216,112
113,6328,113
114,6441,114
115,6555,115
116,6670,116
117,6786,117
118,6903,118
119,7021,119
120,7140,120
121,7260,121
122,7381,122
123,7503,123
124,7626,124
125,7750,125
126,7875,126
127,8001,127
128,8128,128
129,8256,129
130,8385,130
131,8515,131
132,8646,132
133,8778,133
134,8911,134
135,9045,135
136,9180,136
137,9316,137
138,9453,138
139,9591,139
140,9730,140
141,9870,141
142,10011,142
143,10153,143
144,10296,144
145,10440,145
146,10585,146
147,10731,147
148,10878,148
149,11026,149
150,11175,150
151,11325,151
152,11476,152
153,11628,153
154,11781,154
155,11935,155
156,12090,156
157,12246,157
158,12403,158
159,12561,159
160,12720,160
161,12880,161
162,13041,162
163,13203,163
164,13366,164
165,13530,165
166,13695,166
167,13861,167
168,14028,168
169,14196,169
170,14365,170
171,14535,171
172,14706,172
173,14878,173
174,15051,174
175,15225,175
176,15400,176
177,15576,177
178,15753,178
179,15931,179
180,16110,180
181,16290,181
182,16471,182
183,16653,183
184,16836,184
185,17020,185
186,17205,186
187,17391,187
188,17578,188
189,17766,189
190,17955,190
191,18145,191
192,18336,192
193,18528,193
194,18721,194
195,18915,195
196,19110,196
197,19306,197
198,19503,198
199,19701,199
200,19900,200
201,20100,201
202,20301,202
203,20503,203
204,20706,204
205,20910,205
206,21115,206
207,21321,207
208,21528,208
209,21736,209
210,21945,210
211,22155,211
212,22366,212
213,22578,213
214,22791,214
215,23005,215
216,23220,216
217,23436,217
218,23653,218
219,23871,219
220,24090,220
221,24310,221
222,24531,222
223,24753,223
224,24976,224
225,25200,225
226,25425,226
227,25651,227
228,25878,228
229,26106,229
230,26335,230
231,26565,231
232,26796,232
233,27028,233
234,27261,234
235,27495,235
236,27730,236
237,27966,237
238,28203,238
239,28441,239
240,28680,240
241,28920,241
242,29161,242
243,29403,243
244,29646,244
245,29890,245
246,30135,246
247,30381,247
248,30628,248
249,30876,249
250,31125,250
251,31375,251
252,31626,252
253,31878,253
254,32131,254
255,32385,255
256,32640,256
257,32896,257
258,33153,258
259,33411,259
260,33670,260
261,33930,261
262,34191,262
263,34453,263
264,34716,264
265,34980,265
266,35245,266
267,35511,267
268,35778,268
269,36046,269
270,36315,270
